MP,FG,FGA,FG%,3PA,3P,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Chicago Score,Opponent Score,W/L
240,36,87,.414,8,35,.229,24,28,.857,8,29,37,20,10,3,15,22,104,124,0
240,34,91,.374,16,39,.410,22,25,.880,13,28,41,23,7,7,20,16,106,125,0
240,44,86,.512,17,41,.415,23,31,.742,7,47,54,27,4,6,24,21,128,129,0
240,38,87,.437,15,36,.417,24,32,.750,5,32,37,26,7,1,14,23,115,107,1
240,50,92,.543,14,36,.389,19,25,.760,9,35,44,34,9,3,15,27,133,130,1
240,38,87,.437,6,26,.231,14,20,.700,6,36,42,18,10,6,20,21,96,126,0
240,39,85,.459,13,37,.351,27,30,.900,11,37,48,16,11,2,16,24,118,108,1
240,40,91,.440,16,41,.390,15,18,.833,11,41,52,27,5,5,15,19,111,108,1
240,49,93,.527,14,40,.350,12,15,.800,10,33,43,27,3,2,14,21,124,128,0
240,46,91,.505,10,26,.385,13,14,.929,9,32,41,26,10,3,12,23,115,117,0
240,47,77,.610,18,33,.545,15,17,.882,3,35,38,30,6,2,22,19,127,130,0
265,43,91,.473,21,46,.457,18,25,.720,9,47,56,27,5,8,24,25,125,127,0
240,43,85,.506,7,25,.280,24,33,.727,5,42,47,32,14,6,13,23,117,101,1
240,43,92,.467,20,45,.444,19,21,.905,10,37,47,23,10,3,17,19,125,120,1
240,49,96,.510,15,43,.349,10,12,.833,15,28,43,33,11,4,14,21,123,110,1
240,33,84,.393,8,25,.320,16,22,.727,10,35,45,18,8,1,18,28,90,101,0
240,41,88,.466,17,39,.436,4,10,.400,9,32,41,28,4,7,18,16,103,119,0
240,43,85,.506,21,45,.467,15,15,1.000,11,32,43,31,5,2,15,14,122,123,0
240,42,88,.477,11,34,.324,15,20,.750,7,33,40,30,3,1,12,19,110,102,1
240,43,88,.489,6,36,.167,11,16,.688,6,32,38,25,11,3,9,14,103,107,0
240,46,96,.479,9,30,.300,18,20,.900,10,30,40,27,9,5,8,22,119,123,0
240,47,91,.516,15,30,.500,9,13,.692,11,36,47,28,6,10,10,12,118,92,1
240,36,85,.424,9,30,.300,20,24,.833,10,40,50,23,6,3,16,26,101,105,0
240,48,81,.593,25,47,.532,8,11,.727,7,28,35,36,4,6,16,20,129,116,1
240,40,85,.471,12,32,.375,14,15,.933,8,33,41,23,4,3,13,16,106,125,0
265,44,102,.431,13,33,.394,19,22,.864,13,47,60,25,6,2,18,24,120,112,1
240,41,85,.482,8,28,.286,15,24,.625,8,38,46,29,8,7,13,20,105,102,1
240,40,95,.421,7,32,.219,18,18,1.000,13,29,42,24,5,6,11,20,105,112,0
240,49,82,.598,11,23,.478,13,15,.867,2,36,38,24,5,8,14,23,122,114,1
240,49,91,.538,15,36,.417,7,10,.700,8,47,55,24,5,5,11,17,120,100,1
265,55,93,.591,10,25,.400,13,16,.813,7,36,43,28,11,5,21,15,133,126,1
240,39,78,.500,12,31,.387,7,10,.700,6,35,41,25,2,4,17,16,97,106,0
240,42,94,.447,12,38,.316,16,22,.727,14,30,44,25,7,3,10,18,112,118,0
240,48,94,.511,12,28,.429,20,22,.909,13,32,45,28,6,8,14,21,128,124,1
240,39,83,.470,14,29,.483,13,16,.813,8,30,38,26,3,6,19,19,105,127,0
240,34,92,.370,15,38,.395,7,7,1.000,12,38,50,25,5,3,16,16,90,101,0
240,44,97,.454,12,44,.273,18,23,.783,14,46,60,35,6,7,11,20,118,95,1
240,48,94,.511,12,36,.333,15,18,.833,12,30,42,24,8,4,11,17,123,102,1
240,40,91,.440,11,33,.333,8,9,.889,14,37,51,24,6,3,17,22,99,106,0
265,47,90,.522,17,35,.486,16,23,.696,9,33,42,32,6,2,16,20,127,131,0
240,37,80,.463,14,28,.500,12,14,.857,9,43,52,26,8,8,18,22,100,86,1
240,39,96,.406,6,26,.231,11,12,.917,14,35,49,21,5,3,13,14,95,120,0
240,37,83,.446,8,28,.286,12,14,.857,10,35,45,21,6,4,15,12,94,103,0
240,41,95,.432,8,34,.235,14,18,.778,11,37,48,28,6,3,14,25,104,120,0
240,44,84,.524,6,24,.250,8,11,.727,8,31,39,33,8,5,19,18,102,116,0
240,43,99,.434,11,33,.333,19,21,.905,18,32,50,27,6,4,9,20,116,121,0
240,43,89,.483,7,28,.250,13,17,.765,7,34,41,26,5,3,6,19,106,113,0
240,43,78,.551,8,22,.364,21,30,.700,6,34,40,29,4,3,9,11,115,107,1
240,44,94,.468,14,33,.424,11,14,.786,14,43,57,28,9,5,20,12,113,97,1
240,47,87,.540,12,30,.400,16,18,.889,12,37,49,35,5,3,16,16,122,113,1
240,41,86,.477,13,33,.394,13,14,.929,8,30,38,25,6,1,13,17,108,120,0
240,47,92,.511,15,38,.395,8,13,.615,8,30,38,30,10,8,13,19,117,121,0
240,36,86,.419,5,31,.161,13,17,.765,8,32,40,23,8,3,17,16,90,101,0
240,41,86,.477,17,37,.459,7,9,.778,7,33,40,23,7,6,12,16,106,115,0
240,45,96,.469,13,34,.382,12,15,.800,13,33,46,34,3,1,11,20,115,126,0
240,41,82,.500,16,40,.400,8,9,.889,4,34,38,30,6,2,10,15,106,96,1
240,41,91,.451,11,32,.344,9,10,.900,9,31,40,30,11,8,12,15,102,96,1
240,39,79,.494,13,37,.351,14,18,.778,7,34,41,27,6,4,19,24,105,121,0
240,43,87,.494,14,43,.326,8,11,.727,11,39,50,30,8,2,17,14,108,91,1
240,38,79,.481,13,38,.342,12,13,.923,6,36,42,28,7,2,17,20,101,106,0
240,41,77,.532,11,29,.379,17,22,.773,9,42,51,33,3,4,18,21,110,102,1
240,39,85,.459,10,29,.345,6,10,.600,7,36,43,29,2,4,14,12,94,113,0
240,37,96,.385,10,33,.303,14,21,.667,14,36,50,23,5,5,10,18,98,108,0
240,40,85,.471,6,24,.250,11,17,.647,8,31,39,22,11,0,13,22,97,108,0
240,36,87,.414,11,34,.324,11,14,.786,12,28,40,25,7,2,15,15,94,106,0
240,46,91,.505,18,37,.486,10,17,.588,15,41,56,33,10,8,17,20,120,99,1
240,43,99,.434,18,40,.450,17,18,.944,15,37,52,26,10,4,9,20,121,99,1
240,43,84,.512,12,32,.375,10,14,.714,5,38,43,27,6,3,8,22,108,96,1
240,39,96,.406,18,44,.409,11,14,.786,10,35,45,21,4,5,9,20,107,115,0
240,45,83,.542,17,36,.472,7,10,.700,8,43,51,31,4,4,18,15,114,102,1
240,34,98,.347,11,41,.268,12,17,.706,19,33,52,24,7,4,9,13,91,105,0
240,45,87,.517,14,32,.438,14,19,.737,8,37,45,23,8,8,16,20,118,112,1
